source_id,source_name,state_if_applicable,priority_tier,source_type,federal_recognition_required,state_recognition_supported,notes,url
SCDOT-GRANTS-AND-PUBLIC-TRAN-B221C6,SCDOT grants and public transit,SC,Tier 1,state pass-through transportation funding,no,YES in principle - FTA expressly allows non-federally-recognized tribal governments to apply to the state as a 5311 subrecipient,"THE most important SC pass-through finding for a state-recognized tribe: FTA's own tribal-governments page states non-federally-recognized tribal governments remain eligible to apply to the STATE as a subrecipient under the state's apportionment. SCDOT names Section 5311(c) Tribal Transit on paper with zero detail and it appears dormant in SC - a direct, unclaimed opening for Catawba Nation and a real question to put to SCDOT. The SCDOT State Management Plan would resolve 5311 and 5311(c) eligibility and was not fetched [research lane: DOI/HHS + SC + philanthropy]",https://www.scdot.org/inside/PublicTransit-Programs.html
SC-EMD-HMGP,SCEMD Hazard Mitigation Grant Program,SC,Tier 1,state_pass_through,No,UNKNOWN,Live rules and recognition definition control [research lane: seed-v1],https://www.scemd.org/recover/hazard-mitigation/
SCEMD-MITIGATION-HMGP-56206E,SCEMD Mitigation / HMGP,SC,Tier 1,state pass-through grant page,NO - phrasing is tribes or other tribal organizations,likely yes as a tribal organization or private nonprofit; verify per subaward,"75/25 cost share with in-kind match allowed. Applications run through the South Carolina Recovery Grants system whose URL is NOT exposed on the page and is almost certainly login-gated - UNKNOWN. BRIC must be applied for through FEMA GO, not the state. FMA is NOT at SCEMD: SCEMD states it is managed by SC DNR. Other referrals: CDBG-Mitigation to SCOR, SC Safe Home to SC Dept of Insurance, Dam Repair Assistance to SCDES Dam Safety [research lane: DOI/HHS + SC + philanthropy]",https://www.scemd.org/recover/mitigation
SC-EMD-PA,SCEMD Public Agency Assistance,SC,Tier 1,state_pass_through,No,UNKNOWN,[research lane: seed-v1],https://www.scemd.org/recover/get-help/help-for-public-agencies/
SCRA-TECH-CATALYST-FUND-72514E,SCRA Tech Catalyst Fund,SC,Tier 1,quasi-public innovation fund,no,UNKNOWN,"NOT FETCHED. SCDHHS states the fifth RHTP initiative is announced through SCRA rather than SCDHHS, making this the only RHTP initiative with a future application window. Previously unmapped SC source [research lane: DOI/HHS + SC + philanthropy]",https://scra.org/get-to-know/tech-catalyst-fund/
SC-BEAD,South Carolina Broadband Office BEAD,SC,Tier 1,state_program_page,No,UNKNOWN,Do not infer tribal eligibility [research lane: seed-v1],https://ors.sc.gov/broadband/office/investments/state/bead
SC-ATTORNEY-GENERAL-CRIME-VI-6C989A,SC Attorney General Crime Victim Services Division,SC,Tier 2,state pass-through victim services,no,UNKNOWN,"This, not SCDPS, is the SC administrator of crime-victim assistance funding. The legacy sova.sc.gov (State Office of Victim Assistance) is a frozen 2015 shell - do not use. SC's VAWA STOP/SASP administrator was NOT identified: open question [research lane: DOI/HHS + SC + philanthropy]",https://www.scag.gov/inside-the-office/crime-victim-services-division/
SC-BEHAVIORAL-HEALTH-AND-DEV-B2AD83,SC Behavioral Health and Developmental Disabilities grants,SC,Tier 2,state behavioral health pass-through,no,UNKNOWN,AGENCY RENAMED: daodas.sc.gov 301s to bhdd.sc.gov. A July 2026-June 2029 nonprofit MHBG solicitation is referenced on-page with no document attached and stale instructions - chase it directly. Behavioral health is one of the strongest Native-need domains in SC [research lane: DOI/HHS + SC + philanthropy],https://bhdd.sc.gov/about/grants
SC-BROADBAND-GRANT-NOTIFICAT-F56BC2,SC Broadband Grant Notifications list,SC,Tier 2,email/notification subscription,no,n/a,The BEAD page states TWICE that SCBBO uses this list to announce updates. SUBSCRIBE rather than scrape. Esri Survey123 form [research lane: DOI/HHS + SC + philanthropy],https://survey123.arcgis.com/share/1dfc50d7a5a64e709b4b55d5b38183b9
SC-CDBG-CONSOLIDATED-PLAN-AN-0F6E6C,SC CDBG Consolidated Plan and Program Description,SC,Tier 2,plan and NOFO document hub,no,no,"Commerce is the Consolidated Plan lead agency. Con Plan administration map for SC: CDBG to Commerce, HOME and National Housing Trust Fund to SC Housing, ESG to SC Dept of Administration, HOPWA to SC Dept of Public Health. 2026 comment period ran Jan 18 to Feb 19 2026 [research lane: DOI/HHS + SC + philanthropy]",https://www.cdbgsc.com/
SC-CDBG-ELIGIBILITY-098BA5,SC CDBG Eligibility,SC,Tier 2,state pass-through eligibility page,no,no - not an eligible applicant class,"DEFINITIVE verbatim: only units of general local government are eligible for CDBG funds. A Native-serving nonprofit or tribal government must partner with a non-entitlement town or county as a subrecipient - and the explicit subrecipient provision was NOT verified (the Implementation Manual at /manual/ was not fetched): UNKNOWN. Entitlement exclusion list is stamped For FY 2018 and is STALE; it excludes Rock Hill, Catawba Nation's home city [research lane: DOI/HHS + SC + philanthropy]",https://www.cdbgsc.com/about-us/eligibility/
SC-CDBG-IMPLEMENTATION-MANUA-09173F,SC CDBG Implementation Manual and Policy Memos,SC,Tier 2,program manual,no,UNKNOWN,"NOT FETCHED and it is the authoritative place to confirm whether nonprofits may be CDBG subrecipients in SC. The site carries subrecipient-shaped form categories (Procurement, Labor, Monitoring, Environmental, Financial, Startup, Closeout), which is suggestive but not proof [research lane: DOI/HHS + SC + philanthropy]",https://www.cdbgsc.com/manual/
SC-COMMERCE-COMMUNITY-AND-RU-41AAA4,SC Commerce community and rural development,SC,Tier 2,state economic development programs,no,UNKNOWN,CORRECTION: there is NO page called grants on sccommerce.com - the prior dossier's /communities/grants-incentives path is not in live navigation. Use /why-sc/community-development and /state-economy/rural-development. RDI announcement PDFs are hosted on an S3/CDN path [research lane: DOI/HHS + SC + philanthropy],https://www.sccommerce.com/why-sc/community-development
SC-COMMERCE,SC Commerce Grants and Incentives,SC,Tier 2,state_agency_grants,No,UNKNOWN,[research lane: seed-v1],https://www.sccommerce.com/communities/grants-incentives
SC-DEPARTMENT-OF-AGRICULTURE-FF7852,SC Department of Agriculture grants,SC,Tier 2,state and federal agriculture grants,no,UNKNOWN,Specialty Crop Block Grant is USDA AMS pass-through and is the most plausible SC food-sovereignty entry point for a Native-serving nonprofit. Note /specialty-crop-block-grant as a bare path returns empty; use the /farm-and-business-support/grants/ prefix [research lane: DOI/HHS + SC + philanthropy],https://agriculture.sc.gov/farm-and-business-support/grants/
SC-DEW,SC Department of Employment and Workforce,SC,Tier 2,state_agency_page,No,UNKNOWN,[research lane: seed-v1],https://dew.sc.gov/
SC-DEPARTMENT-OF-EMPLOYMENT-FD4C95,SC Department of Employment and Workforce WIOA,SC,Tier 2,state pass-through workforce funding,no,UNKNOWN,"The SC WIOA Combined State Plan PY2026-2027 modification was verified (124,541 characters). Real access is through the 12 local workforce development boards and scworks.org, each with its own procurement - a 12-board monitoring surface within one state. Note DOL WIOA Section 166 is a separate DIRECT tribal channel and does not run through SC [research lane: DOI/HHS + SC + philanthropy]",https://dew.sc.gov/workforce-partners/wioa
SC-DEPARTMENT-OF-NATURAL-RES-7A9BC2,SC Department of Natural Resources Flood Mitigation Assistance,SC,Tier 2,federal pass-through mitigation program,UNKNOWN,UNKNOWN,"CORRECTION: SCEMD states FMA is a FEMA grant managed by SC DNR, not by SCEMD. A prior lane observed /water/flood/mitgrants.html and an FMAfactsheet.pdf on dnr.sc.gov; confirm before relying on it [research lane: DOI/HHS + SC + philanthropy]",https://www.dnr.sc.gov/water/flood/mitgrants.html
SC-DEPARTMENT-OF-PUBLIC-HEAL-8DADC1,SC Department of Public Health grants and subawards,SC,Tier 2,state pass-through,UNKNOWN,UNKNOWN,"Successor to SCDHEC's health functions after the 2024 reorganization. Has dedicated Procurement Services and Subrecipient Monitoring pages, confirming a real subaward regime, but the ~104KB navigation prefix blocks static extraction. BLACKLIST the legacy scdhec.gov domain, and blacklist scdmh.net which was fetched and found to be a hijacked casino site [research lane: DOI/HHS + SC + philanthropy]",https://dph.sc.gov/
SC-DEPARTMENT-OF-PUBLIC-SAFE-D82212,SC Department of Public Safety Office of Highway Safety and Justice Programs,SC,Tier 2,state pass-through justice grants,no,UNKNOWN,"The SC home of Byrne/JAG and NHTSA highway safety pass-through. Solicitation PDFs are published (FFY 2027 JAG Solicitation; FFY 2027 Highway Safety Funding Guidelines, 1839 lines). The IntelliGrants portal is a login-gated JS app - do not automate. VOCA and VAWA STOP are NOT here [research lane: DOI/HHS + SC + philanthropy]",https://scdps.sc.gov/ohsjp
SC-DEPARTMENT-ON-AGING-GRANT-E70E14,SC Department on Aging grants,SC,Tier 2,state aging services pass-through,no,UNKNOWN,"Note OAA Title VI Native American programs are a DIRECT federal channel to tribal organizations and do not flow through the state unit on aging - but Title III services do, so a Native elder program in SC may be reachable both ways [research lane: DOI/HHS + SC + philanthropy]",https://aging.sc.gov
SC-DES-WATER,SC DES Grants and Loans,SC,Tier 2,state_agency_grants,No,UNKNOWN,[research lane: seed-v1],https://des.sc.gov/programs/bureau-water/grants-loans
SC-DES-SECTION-319-NONPOINT-1174F0,SC DES Section 319 Nonpoint Source and SRF,SC,Tier 2,state pass-through,UNKNOWN,UNKNOWN,Confirmed to exist as a subaward pipeline but eligibility is entirely unknown because of the des.sc.gov navigation-overflow defect. A verified SCDES news item announced acceptance of applications for projects to improve water quality by reducing nonpoint source pollution. Requires headless rendering - one of the two highest-value SC remediation tasks [research lane: DOI/HHS + SC + philanthropy],https://des.sc.gov/programs/bureau-water/state-revolving-fund-srf-program
SC-HOUSING-DEVELOPMENT-PROGR-46B25C,SC Housing Development programs,SC,Tier 2,state housing finance programs,no,not addressed,HTF and HPI programmatic home-repair changes effective July 1 2026; workshop Sept 2 2026; HTF Annual Report published 2025-10-29 [research lane: DOI/HHS + SC + philanthropy],https://schousing.sc.gov/development
SC-HUMANITIES-GRANTS-37C3E7,SC Humanities grants,SC,Tier 2,private nonprofit humanities regrantor,no,UNKNOWN,"An NEH state affiliate rather than a state agency - it regrants federal humanities money to SC nonprofits, which makes it reachable by a Native-serving SC nonprofit that could not compete nationally at NEH [research lane: DOI/HHS + SC + philanthropy]",https://schumanities.org/grants/
SC-OPIOID-RECOVERY-FUND-BOAR-245B6F,SC Opioid Recovery Fund Board,SC,Tier 2,state grant program,UNKNOWN,UNKNOWN,CORRECTION to the prior dossier: scorf.sc.gov is NOT the Office of Resilience. It is the Opioid Recovery Fund Board under SC Code 11-58-10 et seq. and operates a Grant Management System Application. Previously unmapped SC source [research lane: DOI/HHS + SC + philanthropy],https://scorf.sc.gov/
SCDAH-FEDERAL-AND-STATE-RECO-DE7401,SCDAH Federal and State Recognized Native American Indian Tribes,SC,Tier 2,reference / consultation list,no for consulting-party status,yes - state entities may be invited as consulting parties,"This is a DIFFERENT, non-equivalent list: 16 federally recognized tribes with historic affiliation to SC for Section 106 purposes (Catawba plus 15 non-resident), NOT a recognition list. It does not enumerate SC state-recognized entities and still links dead cma.sc.gov paths including a 2022 SC Native American Fact Sheet PDF. NativeForge must track three distinct sets: SC state-recognized entities, federally recognized tribes resident in SC (n=1), and federally recognized tribes with SC consultation interest (n=16) [research lane: DOI/HHS + SC + philanthropy]",https://scdah.sc.gov/historic-preservation/resources/native-american-heritage/federal-and-state-recognized-native
SCDES-DAM-REPAIR-ASSISTANCE-AC197D,SCDES Dam Repair Assistance Grant,SC,Tier 2,state grant program,no,n/a,"Referenced by the SCEMD mitigation page; targets owners ineligible for other dam-safety grants. NOTE the former SCDHEC was reorganized in 2024 into SC DES and SC DPH. SCRAPER WARNING: every des.sc.gov and dph.sc.gov HTML page emits an identical ~103KB mega-navigation before any body content, exhausting the fetch budget - these require a headless render with a #main-content selector. des.sc.gov/sitemap.xml does succeed and is a usable URL inventory [research lane: DOI/HHS + SC + philanthropy]",https://des.sc.gov/
SC-ENERGY,South Carolina Energy Office,SC,Tier 2,state_agency_page,No,UNKNOWN,[research lane: seed-v1],https://energy.sc.gov/
ADVANCE-SC-GRANTS-FOR-STATE-06645F,Advance SC Grants for State Tribes,SC,Tier 3,curated federal link list,mostly YES,no - despite the page title,"The Commission administers NONE of these and there is no application, deadline, dollar figure, or Commission-administered fund on the page. Title contradicts content. Treat as lead-generation for a human, NOT an opportunity feed to ingest - it would systematically surface programs SC state-recognized-only entities cannot win [research lane: DOI/HHS + SC + philanthropy]",https://advance.sc.gov/grants-state-tribes
CENTRAL-CAROLINA-COMMUNITY-F-9B055A,Central Carolina Community Foundation,SC,Tier 3,community foundation,no,n/a,"Portal vendor VERIFIED as Foundant/grantinterface.com (urlkey=cccfoundation for grants, cccfoundationScholarship for scholarships); fundholders use FC Suite. Founded 1984 [research lane: DOI/HHS + SC + philanthropy]",https://www.yourfoundation.org/for-nonprofits/grant-opportunities/
COASTAL-COMMUNITY-FOUNDATION-A3C252,Coastal Community Foundation of South Carolina,SC,Tier 3,community foundation,no,n/a,"Two features matter for NativeForge's audience: CCF explicitly offers capacity-building programs and technical assistance to the regional nonprofit ecosystem, and it operates FISCAL SPONSORSHIPS - a real path for a Native-serving SC group without its own 501(c)(3). Donor-advised funds are not applicable-for. Portal vendor UNKNOWN [research lane: DOI/HHS + SC + philanthropy]",https://coastalcommunityfoundation.org/competitive-grants/
SC-ARTS-COMMISSION-GRANTS-6AF86B,SC Arts Commission grants,SC,Tier 3,state arts grants,no,UNKNOWN,"Portal vendor is Foundant (a /all-grants/foundant-login/ path is published), which matters because Foundant and Fluxx adapters cover a disproportionate share of the philanthropic and state-arts field. Not Native-specific [research lane: DOI/HHS + SC + philanthropy]",https://www.southcarolinaarts.com/all-grants/
SC-BUSINESS-OPPORTUNITIES-SC-51904C,SC Business Opportunities (SCBO),SC,Tier 3,procurement solicitations - NOT grants,no,n/a,"PROCUREMENT not grants - keep it in a separate data stream. Endpoints /online-edition, /search, /notices, /archives. State agencies must advertise above thresholds; local participation is voluntary. Contact scbo@mmo.sc.gov [research lane: DOI/HHS + SC + philanthropy]",https://scbo.sc.gov/
SC-COMMISSION-ON-HIGHER-EDUC-FA95E9,SC Commission on Higher Education grants,SC,Tier 3,state higher education grants,no,UNKNOWN,"/eiagrant verified; the /gearup path returned empty. Institution-oriented, so relevant mainly to a tribal-affiliated program housed at an SC institution [research lane: DOI/HHS + SC + philanthropy]",https://che.sc.gov
SC-CONSERVATION-BANK-41950D,SC Conservation Bank,SC,Tier 3,state land conservation grants,no,UNKNOWN,Note applications.sc.gov/ConservationBank is a login wall. The bare conservationbank.sc.gov host returns empty; use www.sccbank.sc.gov [research lane: DOI/HHS + SC + philanthropy],https://www.sccbank.sc.gov/
SC-DEPARTMENT-OF-INSURANCE-S-82AE60,SC Department of Insurance SC Safe Home,SC,Tier 3,state grant program,no,n/a,Referenced by the SCEMD mitigation page; exact program URL not captured. Previously unmapped SC source [research lane: DOI/HHS + SC + philanthropy],https://doi.sc.gov/
SC-DEPT-OF-ADMINISTRATION-MA-69CAE3,SC Dept of Administration Managing Grants,SC,Tier 3,internal state compliance process,n/a,n/a,"NOT a grants portal - it is inward-facing compliance under SC Code 2-65-30, exempting grants under $200,000 and research/student aid. Filings are NOT published: a FOIA target, not a scrape target [research lane: DOI/HHS + SC + philanthropy]",https://www.admin.sc.gov/services/budget/managing-grants
SC-FIRST-STEPS-GRANTS-533156,SC First Steps grants,SC,Tier 3,state early childhood grants,no,UNKNOWN,County-partnership structure means a Native-serving organization would typically partner with a county First Steps partnership rather than apply directly [research lane: DOI/HHS + SC + philanthropy],https://www.scfirststeps.org/what-we-do/grants/
SC-FORESTRY-COMMISSION-GRANT-300D89,SC Forestry Commission grants,SC,Tier 3,state and federal forestry grants,no,UNKNOWN,"Verified NOFO PDFs published on-site. Relevant to Native-serving nonprofits doing land, cultural-plant or forestry work in SC [research lane: DOI/HHS + SC + philanthropy]",https://www.scfc.gov/management/urban-forestry/urban-forestry-grants/
SC-OFFICE-OF-THE-STATE-AUDIT-EC9455,SC Office of the State Auditor,SC,Tier 3,audit reports,n/a,n/a,"NEGATIVE FINDING: no single-audit resource page, no Uniform Guidance guidance and no subrecipient-monitoring resource exists in navigation - only /reports/, /court-reports/ and /internal-reports/. SEFA schedules inside agency PDFs are mineable but heavy [research lane: DOI/HHS + SC + philanthropy]",https://osa.sc.gov/
SC-RURAL-INFRASTRUCTURE-AUTH-485AB5,SC Rural Infrastructure Authority,SC,Tier 3,state infrastructure funding,no,UNKNOWN,Publishes a consolidated Funding Resources guide that doubles as an SC funder map. Also publishes an FY27 Program Strategy PDF that was not fetched [research lane: DOI/HHS + SC + philanthropy],https://ria.sc.gov/loans/
SC-STATE-CLEARINGHOUSE-INTER-EBF26A,SC State Clearinghouse Intergovernmental Review,SC,Tier 3,E.O. 12372 SPOC review,no,UNKNOWN,"NOT FETCHED. Reviews applications, does not advertise opportunities. Worth one follow-up fetch. Note DOJ CTAS Purpose Area 1 expressly triggers E.O. 12372, so this office sits in the CTAS path for SC applicants [research lane: DOI/HHS + SC + philanthropy]",https://www.admin.sc.gov/services/budget/state-clearinghouse-intergovernmental-review
SC-BROADBAND-OFFICE-BEAD-16E0C9,SC Broadband Office BEAD,SC,Tier 4,federal pass-through infrastructure program,UNKNOWN,UNKNOWN - no eligible-entity classes published,BEAD was RESTRUCTURED per an NTIA Policy Notice dated 2025-06-10 and SCBBO's Initial Proposal Modification Letter dated 2025-06-19. Tribal or nonprofit subgrantee eligibility is not established on any fetched page. Check the published SC BEAD CAIs.csv for Native-serving facilities. Five machine-readable CSVs exist but their paths embed dated directory segments that will move [research lane: DOI/HHS + SC + philanthropy],https://ors.sc.gov/broadband/office/investments/state/bead
SC-BROADBAND-STATE-MANAGED-P-4973AD,SC Broadband State Managed Programs,SC,Tier 4,state grant program index,UNKNOWN,UNKNOWN,Confirms there is NO open SC state broadband grant program as of August 2026. Watchlist only - do not present broadband as an SC pipeline [research lane: DOI/HHS + SC + philanthropy],https://ors.sc.gov/broadband/office/investments/state
SCEMD-MAIN-SITE-HSGP-SHSP-EM-4F8683,SCEMD main site - HSGP/SHSP/EMPG absence,SC,Tier 4,negative finding,UNKNOWN,UNKNOWN,"MAJOR NEGATIVE FINDING: the full SCEMD sitemap was retrieved and there is NO grants section, NO HSGP/SHSP/EMPG page and NO NOFO page anywhere in navigation. This is absence of content, not a broken link. /who-we-are/working-with-scemd/ is jobs and internships only. Likely non-web channels: the county emergency-management network, /stay-informed/notices-and-agenda/ [research lane: DOI/HHS + SC + philanthropy]",https://www.scemd.org/
SC-SCORF,SCORF Grant Management System,SC,Tier 4,authenticated_portal,No,UNKNOWN,Do not automate without authorization and terms review [research lane: seed-v1],https://scorf.sc.gov/gms
