source_id,source_name,source_type,agency_or_org,subagency,jurisdiction,federal_or_state_or_private,state_if_applicable,url,monitoring_method,scraper_difficulty,robots_or_terms_risk,native_relevance,eligibility_classes,federal_recognition_required,state_recognition_supported,software_cost_allowability,program_examples,deadline_pattern,update_frequency,data_format,has_api,has_rss_or_email,requires_login,notes,priority_tier,registry_status,monitoring_status,terms_status,state_scope_status,eligibility_status,allowability_status,activation_blocked_reasons
CDFI-FUND-NATIVE-INITIATIVES-032595,CDFI Fund Native Initiatives (NACA Program),federal grant and financial assistance program,U.S. Department of the Treasury,CDFI Fund - Native Initiatives,"national, including Alaska Native and Native Hawaiian",federal,,https://www.cdfifund.gov/programs-training/programs/native-initiatives,static HTML page monitor,low,OK,very high - Native-designated federal capital,"native-nonprofit, native-owned-business (as a CDFI), tribal-organization (as a Sponsoring Entity); certified or emerging CDFIs only","no - the test is a Native-serving activity threshold, not recognition",n/a,likely-allowable - Technical Assistance is expressly capacity funding including technology,NACA Financial Assistance; NACA Technical Assistance; HFFI-FA supplemental; Housing Production Financial Assistance (~$100M in FY2025),"FY2025 pattern: opened Jan 16 2025, FA/TA deadline Mar 21 2025, TA awards announced Sept 30 2025; NOFA amended Sept 24 2025 and Mar 10 2026. Page states materials are subject to change for future rounds - historical pattern, not a promise",annual round,HTML + PDF NOFA and guidance,"no (AMIS is a submission system, not a data API)",GovDelivery service.govdelivery.com/accounts/USTREASCDFI/subscriber/new,no for materials; AMIS and Grants.gov to apply,The strongest single source in this lane: more than $220M awarded through NACA. FA requires a Certified CDFI with at least 50% of activities serving Native communities. TA is also open to Emerging CDFIs (must certify within 3 years) and Sponsoring Entities (must create a Certified CDFI within 4 years). IMPORTANT LIMIT: tribal governments are NOT eligible as such - the applicant must be a financial institution or an entity becoming one. The FY TA Application Guidance PDF is the authoritative artifact on whether software is a line-item allowable cost and remains UNREAD [research lane: DOI/HHS + SC + philanthropy],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,requires_login:no for materials; AMIS and Grants.gov to apply;monitoring_not_started
COORDINATED-TRIBAL-ASSISTANC-9DA903,Coordinated Tribal Assistance Solicitation (CTAS) FY26,grant program,DOJ,"BJA (lead) w/ COPS, OVC, OJJDP",federal,federal,,https://bja.ojp.gov/funding/opportunities/o-bja-2026-172662,PDF/NOFO page monitor,low,OK,very high,federally-recognized-tribe;tribal-government;consortium-with-tribal-partner,yes,no,sometimes-allowable-depends-on-NOFO,PA1 TRGP; PA2 Strategic Planning; PA3 Justice Systems; PA4 Infrastructure; PA5 Treatment Courts; PA6 CJA; PA8 Wellness Courts; PA9 Tribal Youth,"annual FY cycle; FY26 posted 2026-07-24, Grants.gov 2026-10-15, JustGrants 2026-10-22",annual,HTML + PDF,no,email,no,ALNs 16.710/16.596/16.583/16.585/16.731/16.043. No PA7 in FY26. Allowability varies BY purpose area: PA1 and PA5 clearly-allowable for software; PA2 bars outside planners; PA8/PA9 bar consultants. Eligibility verbatim federally recognized tribes and consortia only. [research lane: DOJ/DHS/ED/DOL/SBA],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
COPS-OFFICE-GRANTS-16E0B8,COPS Office Grants,funding list page,DOJ,COPS Office,federal,federal,,https://cops.usdoj.gov/grants,static HTML page monitor,low,OK,high,federally-recognized-tribe;tribal-government;state-or-local-govt-serving-natives,varies,varies,unclear,CTAS PA1; CHP; SVPP; CPD Microgrants; LEMHWA,per-program; HTML table with OPEN/CLOSED flags,per solicitation,HTML table (Drupal 10),no,email (GovDelivery USDOJCOPS),no,"Deadline table includes opportunity number and both deadlines with explicit OPEN/CLOSED flags - ideal scrape shape. Separate NOFO Finder at /notice-of-funding-opportunities-finder. Award PDFs at /pdf/2025AwardDocs/<program>/. No express grant-writing or consultant bar found on pages fetched - UNKNOWN, not absent. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CTAS-PURPOSE-AREA-1-TRIBAL-R-DB3628,CTAS Purpose Area 1 - Tribal Resources Grant Program,grant sub-program,DOJ,COPS Office,federal,federal,,https://cops.usdoj.gov/ctas,PDF/NOFO page monitor,low,OK,very high,federally-recognized-tribe;tribal-government,yes,no,clearly-allowable,law enforcement hiring; equipment; training,annual via CTAS,annual,PDF,no,email (GovDelivery USDOJCOPS),no,"ALN 16.710. Verbatim allowable: ""Computer hardware and software, mobile data terminals, radios."" Indirect costs allowable under PA1. E.O. 12372 applies. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CTAS-PURPOSE-AREA-2-TRIBAL-J-BFDFEA,CTAS Purpose Area 2 - Tribal Justice Systems Strategic Planning,grant sub-program,DOJ,BJA,federal,federal,,https://bja.ojp.gov/funding/opportunities/o-bja-2026-172662,PDF/NOFO page monitor,low,OK,very high,federally-recognized-tribe;tribal-government,yes,no,sometimes-allowable-depends-on-NOFO,comprehensive justice system strategic plan,annual via CTAS; once per tribe only,annual,PDF,no,email,no,"EXPRESS BAR: ""Costs for outside TTA providers, planners, or outside organizations to create a strategic plan for the tribe are not an allowable expense."" But IT/computing devices allowable under Supplies or Other. Prior awardees ineligible. Completing PA2 grants priority consideration for future CTAS. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CTAS-PURPOSE-AREA-5-ADULT-TR-5C068E,CTAS Purpose Area 5 - Adult Tribal Treatment Courts,grant sub-program,DOJ,BJA,federal,federal,,https://bja.ojp.gov/funding/opportunities/o-bja-2026-172662,PDF/NOFO page monitor,low,OK,very high,federally-recognized-tribe;tribal-government,yes,no,clearly-allowable,tribal healing to wellness / treatment courts,annual via CTAS,annual,PDF,no,email,no,"ALN 16.585, 16.043. Verbatim: ""Computer hardware and software for internet access and email capability"" and ""Data management systems for record keeping and case management."" Sec 10616 match waived. Strongest case-management software language in the DOJ set. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CWA-SECTION-106-TRIBAL-GRANT-1C85BD,CWA Section 106 Tribal Grants,program,EPA,Office of Water,national (9 Regions with FR Tribes; R3 has none w/ TAS),federal,,https://www.epa.gov/water-pollution-control-section-106-grants/tribal-grants-under-section-106-clean-water-act,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization (intertribal consortia, all members TAS)",yes,no,clearly-allowable,tribal water quality program; WQ standards/TAS development; monitoring,annual; formula allocation; work plan deadlines set by each EPA Region — UNKNOWN nationally,page modified 2026-03-24,HTML,no,no,no,"Formula: $65,167 base per TAS-eligible Tribe + variable (land area, population, surface water area). Two-gate eligibility: federal recognition AND TAS. ~330 of FR Tribes meet TAS criteria; ~75% have §106 TAS. Match waived by class exception 4/5/2022. Verbatim allowable: ""Developing water quality and geographic information system databases to track changes in water quality and ensure consistency in data management."" Excludes construction/O&M of treatment plants. ALN not stated on page — UNKNOWN. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CWA-SECTION-319-TRIBAL-BASE-1C68B9,CWA Section 319 Tribal Base Grants,program,EPA,Office of Water / NPS Program,national,federal,,https://www.epa.gov/nps/current-tribal-section-319-grant-information,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government",yes,no,likely-allowable,tribal NPS management program; watershed-based plans,annual; noncompetitive; work plan deadlines vary by EPA Region — UNKNOWN nationally,page modified 2026-08-25,HTML + PDF allocation list,no,no,no,"Formula by tribal land area (FY23+): <2 sq mi $50k; 2–50 $55k; 50–500 $60k; 500+ $75k. Requires TAS + EPA-approved NPS assessment report + NPS management program. FY26 eligible-Tribes/allocations PDF published. Allowable incl. ""hiring a program coordinator… developing watershed-based plans""; software not named. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CWA-SECTION-319-TRIBAL-COMPE-9B12AC,CWA Section 319 Tribal Competitive Grants (FY26 NOFO OPEN),program,EPA,Office of Water / NPS Program,national,federal,,https://www.epa.gov/nps/current-tribal-section-319-grant-information,PDF/NOFO page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization (intertribal consortia)",yes,no,sometimes-allowable-depends-on-NOFO,on-the-ground NPS watershed projects; watershed-based plan development,"annual recurring: NOFO ~mid-August, deadline ~early November, selections ~spring. FY26: NOFO epa-ow-owow-26-01 posted 2026-08-17, DEADLINE 2026-11-09 23:59 ET, selections early spring 2027",annual + in-cycle updates,HTML + PDF NOFO + Grants.gov,Grants.gov opportunity 363611,no RSS; tribal319grants@epa.gov,Grants.gov login to apply,"$175k cap per tribal applicant; ~$3.5M/yr. ""New Applicant Set-Aside"" ~5 projects for those not awarded FY21–FY25 (eligibility PDF published). Webinars 9/9 and 9/17/2026; question deadline 10/3/2026. GRTS project-data submission required within 90 days of award (Excel form or GRTS account) — compliance workflow opportunity. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,requires_login:Grants.gov login to apply;monitoring_not_started
DOL-DINAP,Division of Indian and Native American Programs,agency_grant_page,Labor,Employment and Training Administration,United States,federal,,https://www.dol.gov/agencies/eta/dinap,static HTML page monitor,low,OK,Very high,Eligible tribes; tribal orgs; Native entities; notice controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,WIOA Section 166 programs,Recurring,Monthly,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOE-IE-EXCHANGE-OFFICE-OF-IN-B11146,DOE IE-Exchange (Office of Indian Energy application portal),search endpoint / portal,DOE,Office of Indian Energy Policy and Programs,national,federal,,https://ie-exchange.energy.gov/,search endpoint monitor,high,TERMS_REVIEW_REQUIRED,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization, native-owned-business",yes,no,sometimes-allowable-depends-on-NOFO,"DE-FOA-0003548 ""Unleashing Tribal Energy Development"" (~$50M, 3 topic areas, deadline 7/24/2026 5:00 PM ET)","per-FOA; FY26 NOFO ran ~Mar–Jul 2026 (docs posted 3/20–4/1/2026, webinar 4/9/2026, close 7/24/2026)",per-FOA,"HTML (ASP.NET grid, JS-hydrated) + PDF NOFO docs",no,ExchangeHelp@hq.doe.gov; TribalGrants@hq.doe.gov,login required to apply (registration open),"THE authoritative DOE tribal funding source — carries FOAs energy.gov has already delisted. Sections: Funding Opportunities, Teaming Partner List, Funding Archive (?Archive=1), Q&A/FAQ. Topic Areas 2 & 3 are explicitly planning/assessment/feasibility → planning costs clearly in scope. Carries a court-order notice (energy.gov/notice-court-orders) — legal review advised before heavy automation. Grid is JS-hydrated: browser automation likely needed for reliable enumeration. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:login required to apply (registration open);monitoring_not_started
DOE-INDIAN-ENERGY-GOVDELIVER-7050A9,DOE Indian Energy GovDelivery bulletins,email_archive,DOE,Office of Indian Energy,federal,federal,,https://content.govdelivery.com/accounts/USDOEIE/bulletins/41f4772,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,very_high,NA,UNKNOWN,UNKNOWN,UNKNOWN,cross-agency tribal energy funding roundup,NA,monthly,HTML,no,yes,no,"KEY FINDING: archived bulletins publicly readable at stable URLs WITHOUT subscribing; 18 editions listed with send dates; newsletter covers DOE plus other federal agencies' tribal energy funding; probe same pattern for USDOJOJP_COMMS, USDARD, USDE [research lane: API/monitoring layer]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
DOE-OFFICE-OF-INDIAN-ENERGY-3D42B9,DOE Office of Indian Energy funding page,html_table,DOE,Office of Indian Energy Policy and Programs,federal,federal,,https://www.energy.gov/indianenergy/current-funding-and-technical-assistance-opportunities,static HTML page monitor,medium,OK,very_high,NA,UNKNOWN,UNKNOWN,UNKNOWN,Technical Assistance for Tribal Energy Projects,mixed_incl_ongoing,frequently_per_page,HTML,no,yes_monthly_newsletter,no,"CORRECTED URL - energy.gov/indianenergy/funding-opportunities returns EMPTY; hybrid render: Office of Indian Energy table IS server-rendered, 'Other Funding and Opportunities' cross-agency table is JS-loaded with zero rows; MOST TRIBAL-SPECIFIC SOURCE IN INVENTORY; robots disallows /search/ and /search? [research lane: API/monitoring layer]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOE-OFFICE-OF-INDIAN-ENERGY-9700C5,DOE Office of Indian Energy — Current Funding & TA Opportunities,funding index,DOE,Office of Indian Energy Policy and Programs,national,federal,,https://www.energy.gov/indianenergy/current-funding-and-technical-assistance-opportunities,static HTML page monitor,med,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization, native-owned-business (ANC/village corps named)",yes,no,sometimes-allowable-depends-on-NOFO,Technical Assistance for Tribal Energy Projects (ongoing); competitive deployment/planning FOAs,"page updated frequently (""This page is updated frequently""); modified 2026-08-25",frequent,HTML (+ JS-gated secondary table),no,inline email signup (energy.gov/node/4532836),no,"CRITICAL: this page listed ONLY technical assistance on 2026-08-25 while IE-Exchange still showed the $50M FY26 NOFO (closed 7/24/2026) — energy.gov clears closed FOAs fast, so monitoring it alone UNDER-REPORTS DOE tribal funding. Pair with IE-Exchange. The ""Other Funding and Opportunities"" cross-agency table is JS/XHR-driven (filters render, rows don't) — needs browser automation or endpoint discovery. energy.gov timed out twice at 180s before succeeding: use retry/backoff. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOJ-OJP-CURRENT-FUNDING-OPPO-1CD04D,DOJ OJP Current Funding Opportunities,html_list,DOJ,"OJP (BJA,BJS,NIJ,OJJDP,OVC,SMART)",federal,federal,,https://www.ojp.gov/funding/explore/current-funding-opportunities,static HTML page monitor,low,OK,very_high,NA,UNKNOWN,UNKNOWN,UNKNOWN,FY26 Coordinated Tribal Assistance Solicitation (CTAS) o-bja-2026-172662,dual: Grants.gov 11:59pm ET + JustGrants 08:59pm ET,daily,HTML,no,yes_govdelivery_weekly,no,"CLEANEST SCRAPE TARGET: fully server-rendered Drupal, complete list in static HTML grouped by bureau h2; page carries Date Modified stamp for change detection; NO RSS (/feeds 302s to homepage); weekly Funding News at public.govdelivery.com/accounts/USDOJOJP_COMMS topic_id USDOJOJP_COMMS_25; robots disallows /search/ and /node/* but NOT /funding/ [research lane: API/monitoring layer]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOJ-TRIBAL,DOJ Tribal Open Solicitations,agency_grant_page,Justice,Tribal Justice and Safety,United States,federal,,https://www.justice.gov/tribal/open-solicitations,static HTML page monitor,low,OK,Very high,Tribes; tribal orgs; nonprofits; purpose-area controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,CTAS; victim services; public safety,Annual/recurring,Weekly,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOL-ETA-DIVISION-OF-INDIAN-A-99917B,DOL ETA Division of Indian and Native American Programs (DINAP),program office page w/ announcements,DOL,ETA / DINAP,federal,federal,,https://www.dol.gov/agencies/eta/dinap,static HTML page monitor,low,OK,very high,federally-recognized-tribe;tribal-government;tribal-organization;native-nonprofit;native-serving-nonprofit,UNKNOWN,UNKNOWN,unclear,WIOA Sec 166 Comprehensive Services; Supplemental Youth Services,"multi-year designation cycle; FOA-ETA-26-20 issued 2026-04-02, closed 2026-05-22",per program year,HTML (Drupal 10),no,no,no,"BEST DOL MONITORING TARGET - Announcements block carries the live FOA with issue/close dates and both Grants.gov links. Verbatim covered entities: ""tribes, tribal organizations, Alaska Native entities, Indian controlled organizations and Native Hawaiian organizations."" Sibling pages: /grantees, /advisories, /performance, /council. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
