seed_id,canonical_source_id,source_name,source_url,tier,adapter_key,access_posture_hint,source_health_status,catalog_accounting_bucket,resolver_url_status,health_evidence
nf-seed-2026-fed-014,nf:source:nf-seed-2026-fed-014,ANA / HHS-ACF — Esther Martinez Immersion (EMI),https://www.anapacific.org/ana-grants/,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-015,nf:source:nf-seed-2026-fed-015,ANA / HHS-ACF — Environmental Regulatory Enhancement (ERE),https://simpler.grants.gov/opportunity/b205c8ed-2a62-4247-901b-3f731a21a24f,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-016,nf:source:nf-seed-2026-fed-016,ANA / HHS-ACF — EAGLE: Economic Advancement Grants for Local Empowerment,https://www.acf.hhs.gov/ana,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-017,nf:source:nf-seed-2026-fed-017,ANA / HHS-ACF — National Center for Native Training & Technical Assistance,https://www.grants.gov/search-results-detail/361960,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-018,nf:source:nf-seed-2026-fed-018,SAMHSA / HHS — Tribal Behavioral Health Grant (Circles of Care / TBHG),https://www.samhsa.gov/communities/tribal-affairs/funding-opportunities,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-019,nf:source:nf-seed-2026-fed-019,SAMHSA / HHS — Tribal Opioid Response (TOR) Grant,https://www.samhsa.gov/communities/tribal-affairs/funding-opportunities,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-020,nf:source:nf-seed-2026-fed-020,SAMHSA / HHS — Native Connections,https://www.samhsa.gov/communities/tribal-affairs/funding-opportunities/native-connections,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-021,nf:source:nf-seed-2026-fed-021,SAMHSA / HHS — AI/AN Zero Suicide & Suicide Prevention,https://www.samhsa.gov/communities/tribal-affairs/funding-opportunities,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-022,nf:source:nf-seed-2026-fed-022,ACL / HHS — Grants for Native Americans (Title VI Nutrition & Supportive Services),https://acl.gov/programs/health-wellness/nutrition-services,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-023,nf:source:nf-seed-2026-fed-023,HUD — Indian Housing Block Grant (IHBG) – NAHASDA,https://www.hud.gov/helping-americans/public-indian-housing-ihbg,1,grants_gov_federal,login,degraded,login_gated,resolved,access_posture_hint=login
nf-seed-2026-fed-024,nf:source:nf-seed-2026-fed-024,HUD — Indian Community Development Block Grant (ICDBG) – Imminent Threat,https://www.hud.gov/program_offices/public_indian_housing/ih/grants/icdbg,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-025,nf:source:nf-seed-2026-fed-025,EPA — General Assistance Program (GAP),https://www.epa.gov/tribal,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-026,nf:source:nf-seed-2026-fed-026,EPA — Clean Air Act §103/105 Tribal Air Quality Grants,https://www.epa.gov/tribal/fiscal-year-2026-epa-region-5-tribal-air-and-sirg-funding-announcement,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-027,nf:source:nf-seed-2026-fed-027,EPA — Clean Water Act §106 Tribal Water Pollution Control,https://www.epa.gov/tribal/region-6-tribal-clean-water-act-funding-fiscal-year-2026,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-028,nf:source:nf-seed-2026-fed-028,EPA — Clean Water Act §319 Tribal Nonpoint Source,https://www.epa.gov/tribal/region-6-tribal-clean-water-act-funding-fiscal-year-2026,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-029,nf:source:nf-seed-2026-fed-029,DOJ / OVW — Grants to Indian Tribal Governments Program (VAWA),https://simpler.grants.gov/opportunity/f5b4007c-8356-47f3-93c3-1cd7105dc4f2,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-030,nf:source:nf-seed-2026-fed-030,DOJ / OVW — Tribal Sexual Assault Services Program (TSASP),https://www.justice.gov/ovw/tribal-affairs,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-031,nf:source:nf-seed-2026-fed-031,DOJ / OVW — Tribal Coalitions Program,https://www.justice.gov/ovw/tribal-affairs,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-032,nf:source:nf-seed-2026-fed-032,DOJ / OVW — Tribal Jurisdiction Program,https://www.justice.gov/ovw/tribal-affairs,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-033,nf:source:nf-seed-2026-fed-033,DOJ / BJS + OJP — Coordinated Tribal Assistance Solicitation (CTAS),https://www.justice.gov/tribal/open-solicitations,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-034,nf:source:nf-seed-2026-fed-034,DOT / FHWA — Tribal Transportation Program (TTP) – Formula,https://highways.dot.gov/federal-lands/tribal,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-035,nf:source:nf-seed-2026-fed-035,DOT / FHWA — Tribal Transportation Program Safety Fund (TTPSF),https://grants.gov/search-results-detail/345316,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-036,nf:source:nf-seed-2026-fed-036,DOT / FHWA — Tribal High Priority Projects Program,https://www.transportation.gov/grants/dot-navigator/resources-tribal-communities,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-037,nf:source:nf-seed-2026-fed-037,DOT / FHWA — Nationally Significant Federal Lands & Tribal Projects (NSFLTP),https://highways.dot.gov/federal-lands/tribal,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-038,nf:source:nf-seed-2026-fed-038,DOT / FTA — Public Transportation on Indian Reservations (Tribal Transit Program),https://www.transit.dot.gov/funding/grants/tribal-transit-program-5311c,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-039,nf:source:nf-seed-2026-fed-039,USDA / NIFA — Tribal Colleges Education Equity Grants (1994 Land-Grants),https://www.nifa.usda.gov/grants/programs/nifa-tribal-programs/tribal-equity-grants-program,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-040,nf:source:nf-seed-2026-fed-040,USDA / NIFA — Tribal SARE Mini Grant,https://www.sare.org/resources/tribal-sare/,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-041,nf:source:nf-seed-2026-fed-041,USDA / Rural Development — Tribal College Initiative Grants,https://www.rd.usda.gov/programs-services/all-programs,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-042,nf:source:nf-seed-2026-fed-042,USDA / Rural Development — ReConnect Broadband Program (Tribal Set-aside),https://www.rd.usda.gov/programs-services/reconnect-program,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-043,nf:source:nf-seed-2026-fed-043,USDA / Rural Development — Rural Community Development Initiative (RCDI),https://www.rd.usda.gov/programs-services/all-programs,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-044,nf:source:nf-seed-2026-fed-044,USDA / Rural Development — Community Facilities Direct Loan & Grant (CF),https://www.rd.usda.gov/programs-services/community-facilities/community-facilities-direct-loan-grant-program,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-045,nf:source:nf-seed-2026-fed-045,DOE / Office of Indian Energy — Tribal Energy Project Development & Deployment,https://www.energy.gov/indianenergy/current-funding-and-technical-assistance-opportunities,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-046,nf:source:nf-seed-2026-fed-046,DOE / Office of Indian Energy — Tribal Home Electrification & Appliance Rebates (IRA §50131),https://www.energy.gov/indianenergy/current-funding-and-technical-assistance-opportunities,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-047,nf:source:nf-seed-2026-fed-047,NPS / Interior — Historic Preservation Fund – Annual THPO Grants,https://www.nps.gov/subjects/historicpreservationfund/tribal-heritage-grants.htm,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-048,nf:source:nf-seed-2026-fed-048,NPS / Interior — Tribal Heritage Grants Program,https://www.nps.gov/subjects/historicpreservationfund/tribal-heritage-grants.htm,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-049,nf:source:nf-seed-2026-fed-049,IMLS — Native American Library Services: Basic Grants (NAB),https://www.imls.gov/find-funding/funding-opportunities/grant-programs/native-american-library-services-basic-grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-050,nf:source:nf-seed-2026-fed-050,IMLS — Native American Library Services: Enhancement Grants,https://www.imls.gov/find-funding/funding-opportunities/grant-programs/native-american-library-services-enhancement-grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-051,nf:source:nf-seed-2026-fed-051,IMLS — Native American / Native Hawaiian Museum Services,https://www.imls.gov/find-funding/funding-opportunities/grant-programs/native-american-native-hawaiian-museum-services,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-052,nf:source:nf-seed-2026-fed-052,NEA — Grants for Arts Projects (GAP) – Native Arts & Culture,https://www.arts.gov/impact/native-arts-and-culture,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-053,nf:source:nf-seed-2026-fed-053,FWS / Interior — Tribal Wildlife Grants (TWG),https://www.fws.gov/service/tribal-wildlife-grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-054,nf:source:nf-seed-2026-fed-054,FEMA / DHS — Building Resilient Infrastructure & Communities (BRIC),https://simpler.grants.gov/opportunity/bccd8cb3-af60-4773-a5e5-f5a228991289,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-055,nf:source:nf-seed-2026-fed-055,FEMA / DHS — Hazard Mitigation Grant Program (HMGP),https://www.fema.gov/grants/mitigation/hazard-mitigation,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-056,nf:source:nf-seed-2026-fed-056,Treasury / CDFI Fund — Native CDFI Assistance (NACA) Program,https://www.cdfifund.gov/programs-training/programs/native-initiatives,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-057,nf:source:nf-seed-2026-fed-057,DOL / ETA — Native American Employment & Training (DINAP / PL 102-477),https://www.dol.gov/agencies/eta/dinap,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-058,nf:source:nf-seed-2026-fed-058,Bureau of Reclamation / Interior — Native American Affairs Technical Assistance to Tribes,https://www.usbr.gov/native/programs/TAPprogram.html,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-059,nf:source:nf-seed-2026-fed-059,NIH / HHS — N CREW: Native Collective Research Effort to Enhance Wellness,https://www.nih.gov/research-training/minority-health/n-crew,1,grants_gov_federal,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-fed-060,nf:source:nf-seed-2026-fed-060,NSF — Tribal Colleges & Universities Program (TCUP) – STEM,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5483,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-061,nf:source:nf-seed-2026-fed-061,ACL / HHS — Native American Caregiver Supportive Services,https://acl.gov/programs/health-wellness/nutrition-services,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-001,nf:source:nf-seed-2026-st-001,Alabama Indian Affairs Commission (AIAC),https://aiac.alabama.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-002,nf:source:nf-seed-2026-st-002,Governor's Alaska Tribal Unity Advisory Council / DCCED Division of Community,https://www.commerce.alaska.gov/web/dcced/,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-003,nf:source:nf-seed-2026-st-003,Governor's Office on Tribal Relations (GOTR),https://gotr.azgovernor.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-004,nf:source:nf-seed-2026-st-004,Arkansas Native American Cultural Center (Office of Lieutenant Governor / State Parks),https://www.arkansas.gov,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-005,nf:source:nf-seed-2026-st-005,Governor's Tribal Advisor / California Tribal Affairs (CAL EPA / HCD / NAHC),https://nahc.ca.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-006,nf:source:nf-seed-2026-st-006,Colorado Commission of Indian Affairs (CCIA) – Lt. Governor's Office,https://oedit.colorado.gov/colorado-commission-of-indian-affairs,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-007,nf:source:nf-seed-2026-st-007,Connecticut Indian Affairs Council,https://portal.ct.gov/DECD/Content/Indian-Affairs/Indian-Affairs-Council,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-008,nf:source:nf-seed-2026-st-008,Division of Historical & Cultural Affairs – Native American Affairs,https://history.delaware.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-009,nf:source:nf-seed-2026-st-009,Florida Governor's Commission on Seminole and Miccosukee Indian Affairs,https://dos.fl.gov/historical/preservation/grants/,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-010,nf:source:nf-seed-2026-st-010,No dedicated state tribal-affairs commission (Georgia),https://www.georgiaarchives.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-011,nf:source:nf-seed-2026-st-011,Office of Hawaiian Affairs (OHA),https://www.oha.org/grants,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-012,nf:source:nf-seed-2026-st-012,Department of Hawaiian Home Lands (DHHL),https://dhhl.hawaii.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-013,nf:source:nf-seed-2026-st-013,Idaho Legislative Indian Affairs Committee / Governor's Tribal Relations Coordinator,https://legislature.idaho.gov,2,state_portal_generic,public,failing,dead_url,dead,resolver:url_dead_or_unresolved
nf-seed-2026-st-014,nf:source:nf-seed-2026-st-014,Chicago Regional Indian Programs (Governor's liaison – Dept. of Commerce),https://www2.illinois.gov/dceo/Pages/default.aspx,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-015,nf:source:nf-seed-2026-st-015,Indiana Native American Indian Affairs Commission (INAIAC),https://in.gov/inaiac/,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-016,nf:source:nf-seed-2026-st-016,Iowa Commission on Native American Affairs (ICNAA),https://www.iowa.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-017,nf:source:nf-seed-2026-st-017,Kansas Advisory Council on Intergovernmental Relations – Tribal Relations,https://kslegislature.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-018,nf:source:nf-seed-2026-st-018,Governor's Office for Local Development – Tribal Liaison,https://kentucky.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-019,nf:source:nf-seed-2026-st-019,Office of Indian Affairs – Louisiana Governor's Office,https://gov.louisiana.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-020,nf:source:nf-seed-2026-st-020,Maine Indian Tribal-State Commission (MITSC),https://mitsc.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-021,nf:source:nf-seed-2026-st-021,Maryland Commission on Indian Affairs (MCIA),https://msa.maryland.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-022,nf:source:nf-seed-2026-st-022,Massachusetts Commission on Indian Affairs (MCIA),https://www.mass.gov/orgs/executive-office-of-energy-and-environmental-affairs,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-023,nf:source:nf-seed-2026-st-023,Michigan Commission on Indian Affairs (MCIA),https://www.michigan.gov/mcia,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-024,nf:source:nf-seed-2026-st-024,Minnesota Indian Affairs Council (MIAC),https://mn.gov/indianaffairs,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-025,nf:source:nf-seed-2026-st-025,Mississippi Band of Choctaw Indians – State Liaison / MBCI,https://www.choctaw.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-026,nf:source:nf-seed-2026-st-026,Missouri Governor's Commission on Native Americans,https://ago.mo.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-027,nf:source:nf-seed-2026-st-027,Montana Office of Indian Country Economic Development (OICED) – Dept. of Commerce,https://commerce.mt.gov/Business/Indian-Country/Indian-Country-Financial-Assistance/,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-028,nf:source:nf-seed-2026-st-028,Nebraska Indian Affairs Commission (NIAC),https://indianaffairs.state.ne.us,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-029,nf:source:nf-seed-2026-st-029,Nevada Governor's Office of Indian Affairs (GOIA),https://www.nv.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-030,nf:source:nf-seed-2026-st-030,New Hampshire Commission on Native American Affairs,https://www.nh.gov/nhcnaa/,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-031,nf:source:nf-seed-2026-st-031,New Jersey Commission on American Indian Affairs,https://www.nj.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-032,nf:source:nf-seed-2026-st-032,New Mexico Indian Affairs Department (NMIAD),https://www.iad.nm.gov,2,state_portal_generic,login,degraded,login_gated,resolved,access_posture_hint=login
nf-seed-2026-st-033,nf:source:nf-seed-2026-st-033,New York State Office of General Services – Interagency Task Force on Native Americans,https://www.dos.ny.gov/community/native_american.html,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-034,nf:source:nf-seed-2026-st-034,North Carolina Commission of Indian Affairs (NCCIA),https://ncai.net,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-035,nf:source:nf-seed-2026-st-035,North Dakota Indian Affairs Commission (NDIAC),https://www.indianaffairs.nd.gov/grants,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-036,nf:source:nf-seed-2026-st-036,No dedicated Ohio tribal-affairs commission,https://ohiohistory.org,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-037,nf:source:nf-seed-2026-st-037,Oklahoma Indian Affairs Commission (OIAC),https://www.ok.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-038,nf:source:nf-seed-2026-st-038,Governor's Tribal Liaison / Oregon Department of Land Conservation and Development (DLCD),https://www.oregon.gov/lcd/about/pages/tribal-relations.aspx,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-039,nf:source:nf-seed-2026-st-039,Pennsylvania Governor's Advisory Commission on Latino Affairs / Advisory on Native American Affairs,https://www.pa.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-040,nf:source:nf-seed-2026-st-040,Rhode Island Indian Council / Narragansett Indian Tribe Liaison,https://www.narragansettindiannation.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-041,nf:source:nf-seed-2026-st-041,South Carolina Commission for Minority Affairs – Native American Division,https://www.sc.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-042,nf:source:nf-seed-2026-st-042,South Dakota Department of Tribal Relations (SDDTR),https://sdtribalrelations.sd.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-043,nf:source:nf-seed-2026-st-043,Tennessee Commission of Indian Affairs (TCIA),https://www.tn.gov/sos,2,state_portal_generic,public,failing,dead_url,dead,resolver:url_dead_or_unresolved
nf-seed-2026-st-044,nf:source:nf-seed-2026-st-044,No formal state tribal affairs commission (Texas),https://www.thc.texas.gov/preserve,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-045,nf:source:nf-seed-2026-st-045,Utah Division of Indian Affairs (UDIA),https://indian.utah.gov,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-046,nf:source:nf-seed-2026-st-046,Vermont Commission on Native American Affairs (VCNAA),https://accd.vermont.gov/community-development/native-american-affairs,2,state_portal_generic,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-st-047,nf:source:nf-seed-2026-st-047,Virginia Council on Indians (VCI),https://www.dcr.virginia.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-048,nf:source:nf-seed-2026-st-048,Governor's Office of Indian Affairs (GOIA),https://goia.wa.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-049,nf:source:nf-seed-2026-st-049,No formal tribal affairs commission (West Virginia),https://wvculture.org,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-050,nf:source:nf-seed-2026-st-050,Wisconsin Governor's Indian Affairs Committee / Ho-Chunk Nation State Liaison,https://www.wisconsin.gov/Pages/Home.aspx,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-st-051,nf:source:nf-seed-2026-st-051,Wyoming State Historic Preservation Office – Tribal Consultation / Governor's Liaison,https://wyoshpo.wyo.gov,2,state_portal_generic,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-t3-001,nf:source:nf-seed-2026-t3-001,NDN Collective — Community Action Fund (CAF),https://ndncollective.org/community-action-fund/,3,foundation_org_page,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-t3-002,nf:source:nf-seed-2026-t3-002,NDN Collective — Radical Imagination Fund,https://ndncollective.org/grant-opportunities/,3,foundation_org_page,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-t3-003,nf:source:nf-seed-2026-t3-003,NDN Collective — Community Self-Determination Fund,https://ndncollective.org/grant-opportunities/,3,foundation_org_page,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-t3-004,nf:source:nf-seed-2026-t3-004,NDN Collective — Collective Abundance Fund (CAF II),https://ndncollective.org/grant-opportunities/,3,foundation_org_page,login,attention_needed,blocked_login_portal,login,resolver:login_portal_on_public_hint_corrected
nf-seed-2026-t3-005,nf:source:nf-seed-2026-t3-005,Native Americans in Philanthropy (NAP) — Indigenous Tomorrows Fund (ITF),https://nativephilanthropy.org/itf,3,foundation_org_page,public,healthy,activatable,resolved,resolver:activatable
