source_id,source_name,source_type,agency_or_org,subagency,jurisdiction,federal_or_state_or_private,state_if_applicable,url,monitoring_method,scraper_difficulty,robots_or_terms_risk,native_relevance,eligibility_classes,federal_recognition_required,state_recognition_supported,software_cost_allowability,program_examples,deadline_pattern,update_frequency,data_format,has_api,has_rss_or_email,requires_login,notes,priority_tier,registry_status,monitoring_status,terms_status,state_scope_status,eligibility_status,allowability_status,activation_blocked_reasons
DOI-FWS-TWG,Tribal Wildlife Grants,program_page,Interior,Fish and Wildlife Service,United States,federal,,https://www.fws.gov/program/tribal-wildlife-grants,PDF/NOFO page monitor,low,low,Very high,Federally recognized tribes,Yes,No,Sometimes allowable depending on NOFO/budget category,Tribal Wildlife Grants,Annual/periodic,Monthly,HTML/PDF,No,UNKNOWN,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOI-BOR,Nature-Based Solutions and Native American Affairs,agency_page,Interior,Bureau of Reclamation,Western United States,federal,,https://www.usbr.gov/native/,static HTML page monitor,medium,low,High,Federally recognized tribes; tribal partners; program controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,Tribal water technical assistance,Periodic,Monthly,HTML/PDF,No,UNKNOWN,No,Geographically/program limited,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HHS-ANA,ANA Funding Opportunities,agency_grant_page,HHS,Administration for Children and Families/ANA,United States,federal,,https://www.acf.hhs.gov/ana/grants/funding-opportunities,static HTML page monitor,low,low,Very high,Tribes; tribal orgs; Native nonprofits; Native-serving/consortia may vary,Varies,Varies,Sometimes allowable depending on NOFO/budget category,SEDS; language; environmental regulatory enhancement,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HHS-IHS,IHS Funding Opportunities,agency_grant_page,HHS,Indian Health Service,United States,federal,,https://www.ihs.gov/dgm/funding/,static HTML page monitor,medium,low,Very high,Tribes; tribal organizations; urban Indian organizations; NOFO controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,Health cooperative agreements,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HHS-SAMHSA,SAMHSA Grants,agency_grant_page,HHS,SAMHSA,United States,federal,,https://www.samhsa.gov/grants,static HTML page monitor,low,low,High,Tribes; tribal orgs; nonprofits; states/localities; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Behavioral health; tribal opioid response,Recurring,Daily,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HHS-CDC,CDC Grants and Funding,agency_grant_page,HHS,CDC,United States,federal,,https://www.cdc.gov/grants-funding/,static HTML page monitor,low,low,High,Tribes; tribal orgs; health entities; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Public health capacity; surveillance,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HHS-HRSA,HRSA Find Funding,opportunity_search,HHS,HRSA,United States,federal,,https://www.hrsa.gov/grants/find-funding,search endpoint monitor,medium,TERMS_REVIEW_REQUIRED,High,Tribes; tribal orgs; health nonprofits; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Rural health; workforce; telehealth,Recurring,Weekly,HTML/PDF,UNKNOWN,Yes,No,,Tier 2,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HHS-ACL,ACL Funding Opportunities,agency_grant_page,HHS,Administration for Community Living,United States,federal,,https://acl.gov/grants/open-opportunities,static HTML page monitor,low,low,High,Tribes; tribal orgs; nonprofits; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Native American elder programs,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
NIH-GUIDE,NIH Guide for Grants and Contracts,research_opportunity_feed,HHS,NIH,United States,federal,,https://grants.nih.gov/funding/searchguide/index.html,RSS/feed monitor,low,low,High,Research institutions; tribes/tribal orgs may vary; partnerships,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Native health; disparities; data science,Rolling,Daily,HTML/RSS,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
NIH-REPORTER,NIH RePORTER,award_database,HHS,NIH,United States,federal,,https://api.reporter.nih.gov/,API monitor,low,API_TERMS,Medium,Research award recipients,Varies,Varies,Not applicable,NIH awards,Rolling,Weekly,JSON,Yes,No,No,,Tier 2,seed_imported,not_started,ATTRIBUTION_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:API_TERMS;monitoring_not_started
USDA-RD,USDA Rural Development Funding,agency_grant_page,USDA,Rural Development,United States,federal,,https://www.rd.usda.gov/programs-services/all-programs,static HTML page monitor,medium,low,High,Tribes; tribal orgs; nonprofits; local governments; businesses; program controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Community Facilities; ReConnect; DLT; water,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
USDA-RECONNECT,ReConnect Program,program_page,USDA,Rural Utilities Service,United States,federal,,https://www.rd.usda.gov/programs-services/telecommunications-programs/reconnect-program,PDF/NOFO page monitor,low,low,High,Tribes; corporations; cooperatives; governments; round controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Broadband infrastructure,Round based,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
USDA-NIFA,NIFA Grants,agency_grant_page,USDA,NIFA,United States,federal,,https://www.nifa.usda.gov/grants,static HTML page monitor,low,low,Very high,TCUs; tribes; universities; nonprofits; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Tribal Colleges; extension; food systems,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
USDA-NRCS,NRCS Tribal Assistance,tribal_affairs_page,USDA,NRCS,United States,federal,,https://www.nrcs.usda.gov/about/partnerships/tribal-assistance,static HTML page monitor,low,low,High,Tribes; Native producers; partners; program controls,Varies,Varies,Sometimes allowable depending on program,Conservation programs; agreements,Recurring,Monthly,HTML/PDF,No,UNKNOWN,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HUD-ONAP,HUD Office of Native American Programs,agency_grant_page,HUD,ONAP,United States,federal,,https://www.hud.gov/hud-partners/codetalk,static HTML page monitor,medium,low,Very high,Federally recognized tribes; TDHEs; Alaska Native entities; program controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,IHBG; ICDBG,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
HUD-IHBG,Indian Housing Block Grant,formula_program,HUD,ONAP,United States,federal,,https://www.hud.gov/hud-partners/codetalk-ihbg,static HTML page monitor,low,low,Very high,Eligible Indian tribes; TDHEs,Yes,No,Sometimes allowable depending on NOFO/budget category,IHBG,Annual formula,Monthly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOC-EDA,EDA Funding Opportunities,agency_grant_page,Commerce,Economic Development Administration,United States,federal,,https://www.eda.gov/funding/funding-opportunities,static HTML page monitor,low,low,High,Tribes; tribal orgs; states/localities; nonprofits; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Planning; infrastructure; economic adjustment,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOC-NTIA,Internet for All Funding Programs,agency_grant_page,Commerce,NTIA,United States,federal,,https://www.internetforall.gov/funding-programs,static HTML page monitor,medium,low,Very high,States; tribes; subgrantees; entities vary by program,Varies,Varies,Sometimes allowable depending on NOFO/budget category,BEAD; Tribal Broadband Connectivity; Digital Equity,Round based,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOC-NOAA,NOAA Funding Opportunities,agency_grant_page,Commerce,NOAA,United States,federal,,https://www.noaa.gov/organization/information-technology/funding-opportunities,static HTML page monitor,medium,low,High,Tribes; nonprofits; research entities; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Climate resilience; fisheries; habitat,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOE-INDIAN,Office of Indian Energy Funding,agency_grant_page,Energy,Office of Indian Energy,United States,federal,,https://www.energy.gov/indianenergy/funding,static HTML page monitor,low,low,Very high,Indian tribes; tribal energy development organizations; Alaska Native entities; NOFO controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,Energy planning; deployment,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
EPA-TRIBAL,EPA Tribal Grants,tribal_affairs_page,EPA,American Indian Environmental Office,United States,federal,,https://www.epa.gov/tribal/tribal-grants,static HTML page monitor,low,low,Very high,Tribes; intertribal consortia; program controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,GAP; media-specific grants,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
EPA-GAP,Indian Environmental General Assistance Program,capacity_program,EPA,AIEO,United States,federal,,https://www.epa.gov/tribal/indian-environmental-general-assistance-program-gap,PDF/NOFO page monitor,low,low,Very high,Federally recognized tribes; eligible intertribal consortia,Yes,No,Likely allowable,Environmental program capacity,Annual/periodic,Monthly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
EPA-EN,Exchange Network Grant Program,data_system_program,EPA,Environmental Information,United States,federal,,https://www.epa.gov/exchangenetwork/exchange-network-grant-program,PDF/NOFO page monitor,low,low,High,States; tribes; territories; intertribal consortia; NOFO controls,Varies,Usually no,Likely allowable,Environmental data exchange,Annual/periodic,Monthly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOJ-TRIBAL,DOJ Tribal Open Solicitations,agency_grant_page,Justice,Tribal Justice and Safety,United States,federal,,https://www.justice.gov/tribal/open-solicitations,static HTML page monitor,low,low,Very high,Tribes; tribal orgs; nonprofits; purpose-area controls,Often,Usually no,Sometimes allowable depending on NOFO/budget category,CTAS; victim services; public safety,Annual/recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOJ-OVW,OVW Open Solicitations,agency_grant_page,Justice,Office on Violence Against Women,United States,federal,,https://www.justice.gov/ovw/open-solicitations,static HTML page monitor,low,low,Very high,Tribes; tribal coalitions; nonprofits; solicitation controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Tribal Governments Program; coalitions,Annual/recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
FEMA-THSGP,Tribal Homeland Security Grant Program,program_page,DHS,FEMA,United States,federal,,https://www.fema.gov/grants/preparedness/tribal-homeland-security,PDF/NOFO page monitor,low,low,Very high,Federally recognized tribes meeting statutory criteria,Yes,No,Sometimes allowable depending on NOFO/budget category,THSGP,Annual,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CISA-SLCGP,State and Local Cybersecurity Grant Program,pass_through_program,DHS,CISA/FEMA,United States,federal,,https://www.cisa.gov/cybergrants/slcgp,static HTML page monitor,low,low,High,State prime recipients; local/tribal subrecipient routes vary,Varies,Varies,Likely allowable,Cybersecurity plans projects tools,Annual/round,Monthly,HTML/PDF,No,Yes,No,Instantiate state route,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOT-GRANTS,DOT Grants,agency_grant_page,Transportation,Office of the Secretary,United States,federal,,https://www.transportation.gov/grants,static HTML page monitor,medium,low,High,Tribes; states/localities; transit/airport entities; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,RAISE; SS4A,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOT-FTA-TRIBAL,Tribal Transit Program,program_page,Transportation,Federal Transit Administration,United States,federal,,https://www.transit.dot.gov/funding/grants/grant-programs/public-transportation-indian-reservations-program-tribal-transit,PDF/NOFO page monitor,low,low,Very high,Federally recognized tribes; eligible tribal recipients,Yes,No,Sometimes allowable depending on NOFO/budget category,Tribal Transit formula and competitive,Annual,Monthly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
ED-OIE,Office of Indian Education,agency_grant_page,Education,Office of Elementary and Secondary Education,United States,federal,,https://oese.ed.gov/offices/office-of-indian-education/,static HTML page monitor,low,low,Very high,Tribes; LEAs; BIE schools; Native orgs; program controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Indian Education grants; Native language,Recurring,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOL-DINAP,Division of Indian and Native American Programs,agency_grant_page,Labor,Employment and Training Administration,United States,federal,,https://www.dol.gov/agencies/eta/dinap,static HTML page monitor,low,low,Very high,Eligible tribes; tribal orgs; Native entities; notice controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,WIOA Section 166 programs,Recurring,Monthly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
NSF-FUNDING,NSF Funding Opportunities,research_opportunity_search,NSF,,United States,federal,,https://www.nsf.gov/funding,search endpoint monitor,medium,TERMS_REVIEW_REQUIRED,High,Institutions; TCUs; tribes/partners vary,Varies,Varies,Sometimes allowable depending on NOFO/budget category,TCUP; EPSCoR; STEM; cyberinfrastructure,Rolling,Weekly,HTML/PDF,UNKNOWN,Yes,No,,Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NASA-NSPIRES,NSPIRES,research_opportunity_portal,NASA,,United States,federal,,https://nspires.nasaprs.com/,search endpoint monitor,high,TERMS_REVIEW_REQUIRED,Medium,Research institutions; applicant rules vary,Varies,Varies,Sometimes allowable depending on NOFO/budget category,ROSES; STEM engagement,Rolling,Weekly,HTML/PDF,UNKNOWN,Yes,Varies,Manual intake until terms review,Tier 2,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Varies;monitoring_not_started
SC-BEAD,South Carolina Broadband Office BEAD,state_program_page,SC Office of Regulatory Staff,SC Broadband Office,South Carolina,state,SC,https://ors.sc.gov/broadband/office/investments/state/bead,static HTML page monitor,medium,low,High,Applicant types round-specific; communities may be beneficiaries,No,UNKNOWN,Sometimes allowable depending on NOFO/budget category,BEAD; digital opportunity,Round based,Weekly,HTML/PDF/CSV,No,Yes,No,Do not infer tribal eligibility,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SC-EMD-HMGP,SCEMD Hazard Mitigation Grant Program,state_pass_through,South Carolina,Emergency Management Division,South Carolina,state,SC,https://www.scemd.org/recover/hazard-mitigation/,static HTML page monitor,low,low,High,State/local governments; Indian tribes/tribal orgs; certain nonprofits,No,UNKNOWN,Sometimes allowable depending on NOFO/budget category,HMGP,Disaster/round based,Monthly,HTML/PDF,No,Yes,No,Live rules and recognition definition control,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SC-EMD-PA,SCEMD Public Agency Assistance,state_pass_through,South Carolina,Emergency Management Division,South Carolina,state,SC,https://www.scemd.org/recover/get-help/help-for-public-agencies/,static HTML page monitor,low,low,High,Tribal governments; state/local agencies; certain PNPs,No,UNKNOWN,Sometimes allowable depending on incident/category,FEMA Public Assistance,Disaster based,Weekly,HTML/PDF,No,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SC-ED,SC Department of Education Grant Opportunities,state_agency_grants,South Carolina,Department of Education,South Carolina,state,SC,https://www.ed.sc.gov/finance/grants/office-of-grant-services/scde-grant-opportunities/,static HTML page monitor,low,low,Medium,Schools; LEAs; nonprofits; entities vary,No,UNKNOWN,Sometimes allowable depending on NOFO/budget category,SCDE current and archived grants,Rolling,Weekly,HTML/PDF,No,UNKNOWN,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SC-DHHS,SCDHHS Grants,state_agency_grants,South Carolina,Department of Health and Human Services,South Carolina,state,SC,https://www.scdhhs.gov/resources/grants,static HTML page monitor,low,low,High,Health entities; nonprofits; applicant class varies,No,UNKNOWN,Sometimes allowable depending on NOFO/budget category,Connections to Care; health initiatives,Round based,Weekly,HTML/PDF,No,UNKNOWN,No,Strong data/EHR watch channel,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SC-COMMERCE,SC Commerce Grants and Incentives,state_agency_grants,South Carolina,Department of Commerce,South Carolina,state,SC,https://www.sccommerce.com/communities/grants-incentives,static HTML page monitor,low,low,Medium,Local governments; development entities; partners; program controls,No,UNKNOWN,Sometimes allowable depending on NOFO/budget category,Community/economic development,Recurring,Monthly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
